Wavenumber [cm^-1],BACs [cm^5 molecule^-2] T = 349 K,Sistematic errors [cm^5 molecule^-2]
4356,2.436e-44,1.88e-45
4357,2.409e-44,1.88e-45
4358,2.392e-44,1.87e-45
4359,2.377e-44,1.87e-45
4360,2.369e-44,1.86e-45
4361,2.35e-44,1.85e-45
4362,2.334e-44,1.85e-45
4363,2.325e-44,1.85e-45
4364,2.313e-44,1.84e-45
4365,2.3e-44,1.84e-45
4366,2.282e-44,1.83e-45
4367,2.268e-44,1.83e-45
4368,2.261e-44,1.82e-45
4369,2.247e-44,1.82e-45
4370,2.229e-44,1.81e-45
4371,2.217e-44,1.81e-45
4372,2.203e-44,1.8e-45
4373,2.188e-44,1.8e-45
4374,2.189e-44,1.79e-45
4375,2.176e-44,1.79e-45
4376,2.16e-44,1.79e-45
4377,2.152e-44,1.78e-45
4378,2.14e-44,1.78e-45
4379,2.127e-44,1.77e-45
4380,2.112e-44,1.77e-45
4381,2.095e-44,1.77e-45
4382,2.077e-44,1.76e-45
4383,2.074e-44,1.76e-45
4384,2.065e-44,1.75e-45
4385,2.058e-44,1.75e-45
4386,2.04e-44,1.74e-45
4387,2.036e-44,1.74e-45
4388,2.026e-44,1.74e-45
4389,2.014e-44,1.74e-45
4390,2.001e-44,1.73e-45
4391,2.003e-44,1.73e-45
4392,1.996e-44,1.73e-45
4393,1.982e-44,1.72e-45
4394,1.971e-44,1.72e-45
4395,1.956e-44,1.71e-45
4396,1.953e-44,1.71e-45
4397,1.94e-44,1.71e-45
4398,1.933e-44,1.7e-45
4399,1.927e-44,1.7e-45
4400,1.922e-44,1.7e-45
4401,1.917e-44,1.7e-45
4402,1.904e-44,1.69e-45
4403,1.9e-44,1.69e-45
4404,1.883e-44,1.69e-45
4405,1.871e-44,1.68e-45
4406,1.868e-44,1.68e-45
4407,1.857e-44,1.68e-45
4408,1.862e-44,1.68e-45
4409,1.853e-44,1.67e-45
4410,1.85e-44,1.67e-45
4411,1.842e-44,1.67e-45
4412,1.834e-44,1.67e-45
4413,1.817e-44,1.66e-45
4414,1.823e-44,1.66e-45
4415,1.813e-44,1.66e-45
4416,1.811e-44,1.66e-45
4417,1.806e-44,1.66e-45
4418,1.8e-44,1.65e-45
4419,1.79e-44,1.65e-45
4420,1.784e-44,1.65e-45
4421,1.781e-44,1.65e-45
4422,1.789e-44,1.65e-45
4423,1.779e-44,1.64e-45
4424,1.764e-44,1.64e-45
4425,1.755e-44,1.64e-45
4426,1.756e-44,1.64e-45
4427,1.758e-44,1.64e-45
4428,1.754e-44,1.63e-45
4429,1.762e-44,1.63e-45
4430,1.762e-44,1.63e-45
4431,1.753e-44,1.63e-45
4432,1.745e-44,1.63e-45
4433,1.733e-44,1.63e-45
4434,1.741e-44,1.63e-45
4435,1.722e-44,1.62e-45
4436,1.724e-44,1.62e-45
4437,1.717e-44,1.62e-45
4438,1.721e-44,1.62e-45
4439,1.724e-44,1.62e-45
4440,1.714e-44,1.62e-45
4441,1.713e-44,1.62e-45
4442,1.709e-44,1.61e-45
4443,1.706e-44,1.61e-45
4444,1.698e-44,1.61e-45
4445,1.698e-44,1.61e-45
4446,1.704e-44,1.61e-45
4447,1.7e-44,1.61e-45
4448,1.694e-44,1.61e-45
4449,1.69e-44,1.61e-45
4450,1.687e-44,1.61e-45
4451,1.682e-44,1.6e-45
4452,1.683e-44,1.6e-45
4453,1.675e-44,1.6e-45
4454,1.673e-44,1.6e-45
4455,1.663e-44,1.6e-45
4456,1.667e-44,1.6e-45
4457,1.671e-44,1.6e-45
4458,1.663e-44,1.6e-45
4459,1.66e-44,1.6e-45
4460,1.666e-44,1.6e-45
4461,1.667e-44,1.6e-45
4462,1.651e-44,1.59e-45
4463,1.646e-44,1.59e-45
4464,1.646e-44,1.59e-45
4465,1.653e-44,1.59e-45
4466,1.661e-44,1.59e-45
4467,1.658e-44,1.59e-45
4468,1.644e-44,1.59e-45
4469,1.642e-44,1.59e-45
4470,1.649e-44,1.59e-45
4471,1.646e-44,1.59e-45
4472,1.635e-44,1.58e-45
4473,1.636e-44,1.58e-45
4474,1.646e-44,1.58e-45
4475,1.633e-44,1.58e-45
4476,1.635e-44,1.58e-45
4477,1.639e-44,1.58e-45
4478,1.635e-44,1.58e-45
4479,1.627e-44,1.58e-45
4480,1.623e-44,1.58e-45
4481,1.627e-44,1.58e-45
4482,1.615e-44,1.58e-45
4483,1.619e-44,1.58e-45
4484,1.627e-44,1.58e-45
4485,1.608e-44,1.57e-45
4486,1.602e-44,1.57e-45
4487,1.605e-44,1.57e-45
4488,1.594e-44,1.57e-45
4489,1.594e-44,1.57e-45
4490,1.596e-44,1.57e-45
4491,1.599e-44,1.57e-45
4492,1.602e-44,1.57e-45
4493,1.595e-44,1.56e-45
4494,1.572e-44,1.56e-45
4495,1.574e-44,1.56e-45
4496,1.575e-44,1.56e-45
4497,1.574e-44,1.56e-45
4498,1.564e-44,1.56e-45
4499,1.575e-44,1.56e-45
4500,1.565e-44,1.55e-45
4501,1.562e-44,1.56e-45
4502,1.56e-44,1.55e-45
4503,1.56e-44,1.55e-45
4504,1.561e-44,1.55e-45
4505,1.551e-44,1.55e-45
4506,1.548e-44,1.55e-45
4507,1.538e-44,1.55e-45
4508,1.539e-44,1.55e-45
4509,1.533e-44,1.54e-45
4510,1.529e-44,1.54e-45
4511,1.523e-44,1.54e-45
4512,1.527e-44,1.54e-45
4513,1.522e-44,1.54e-45
4514,1.518e-44,1.54e-45
4515,1.52e-44,1.54e-45
4516,1.515e-44,1.54e-45
4517,1.503e-44,1.53e-45
4518,1.497e-44,1.53e-45
4519,1.485e-44,1.53e-45
4520,1.493e-44,1.53e-45
4521,1.483e-44,1.52e-45
4522,1.482e-44,1.52e-45
4523,1.47e-44,1.52e-45
4524,1.478e-44,1.52e-45
4525,1.474e-44,1.52e-45
4526,1.464e-44,1.52e-45
4527,1.46e-44,1.51e-45
4528,1.443e-44,1.51e-45
4529,1.436e-44,1.51e-45
4530,1.426e-44,1.51e-45
4531,1.427e-44,1.5e-45
4532,1.425e-44,1.5e-45
4533,1.42e-44,1.5e-45
4534,1.416e-44,1.5e-45
