temperature,wavenumber,cia_coefficient,uncertainty
77,1850,1.45032481188e-13,6.23639669107e-14
77,1855,1.41386715545e-13,6.07962876845e-14
77,1860,1.37836391702e-13,5.92696484318e-14
77,1865,1.34378700178e-13,5.77828410765e-14
77,1870,1.31010905827e-13,5.63346895058e-14
77,1875,1.27730365388e-13,5.49240571169e-14
77,1880,1.24534541179e-13,5.3549852707e-14
77,1885,1.21421008464e-13,5.22110336394e-14
77,1890,1.18387455287e-13,5.09066057733e-14
77,1895,1.15431675024e-13,4.96356202604e-14
77,1900,1.12551553182e-13,4.83971678681e-14
77,1905,1.09745050927e-13,4.71903718987e-14
77,1910,1.0701018827e-13,4.60143809562e-14
77,1915,1.04345029686e-13,4.4868362765e-14
77,1920,1.01747674347e-13,4.37514999694e-14
77,1925,9.92162521484e-14,4.26629884238e-14
77,1930,9.67489255669e-14,4.16020379938e-14
77,1935,9.43438963318e-14,4.05678754227e-14
77,1940,9.19994150351e-14,3.95597484651e-14
77,1945,8.97137913898e-14,3.85769302976e-14
77,1950,8.74854028317e-14,3.76187232176e-14
77,1955,8.53126995838e-14,3.6684460821e-14
77,1960,8.31942050375e-14,3.57735081661e-14
77,1965,8.11285112107e-14,3.48852598206e-14
77,1970,7.91142699509e-14,3.40191360789e-14
77,1975,7.71501812901e-14,3.31745779548e-14
77,1980,7.52349808207e-14,3.23510417529e-14
77,1985,7.33674280605e-14,3.1547994066e-14
77,1990,7.15462975388e-14,3.07649079417e-14
77,1995,6.97703738003e-14,3.00012607341e-14
77,2000,6.8038450815e-14,2.92565338504e-14
77,2005,6.63493355238e-14,2.85302142752e-14
77,2010,6.47018545764e-14,2.78217974679e-14
77,2015,6.30948628375e-14,2.71307910201e-14
77,2020,6.15272520244e-14,2.64567183705e-14
77,2025,5.99979579161e-14,2.57991219039e-14
77,2030,5.85059649122e-14,2.51575649122e-14
77,2035,5.7050307247e-14,2.45316321162e-14
77,2040,5.5630066786e-14,2.3920928718e-14
77,2045,5.42443679225e-14,2.33250782067e-14
77,2050,5.28923705597e-14,2.27437193407e-14
77,2055,5.15732624298e-14,2.21765028448e-14
77,2060,5.0286252026e-14,2.16230883712e-14
77,2065,4.9030563228e-14,2.1083142188e-14
77,2070,4.78054323218e-14,2.05563358984e-14
77,2075,4.66101076398e-14,2.00423462851e-14
77,2080,4.54438515585e-14,1.95408561701e-14
77,2085,4.43059441799e-14,1.90515559974e-14
77,2090,4.31956877532e-14,1.85741457339e-14
