temperature,wavenumber,cia_coefficient,uncertainty
241,4147,9.616e-44,3.64e-45
241,4148,9.654e-44,3.65e-45
241,4149,9.691e-44,3.66e-45
241,4150,9.705e-44,3.67e-45
241,4151,9.716e-44,3.68e-45
241,4152,9.721e-44,3.68e-45
241,4153,9.681e-44,3.66e-45
241,4154,9.494e-44,3.58e-45
241,4155,9.292e-44,3.45e-45
241,4156,9.5e-44,3.55e-45
241,4157,9.735e-44,3.67e-45
241,4158,9.829e-44,3.72e-45
241,4159,9.859e-44,3.73e-45
241,4160,9.822e-44,3.71e-45
241,4161,9.768e-44,3.69e-45
241,4162,9.782e-44,3.7e-45
241,4163,9.777e-44,3.71e-45
241,4164,9.745e-44,3.71e-45
241,4165,9.707e-44,3.7e-45
241,4166,9.667e-44,3.69e-45
241,4167,9.633e-44,3.68e-45
241,4168,9.607e-44,3.67e-45
241,4169,9.572e-44,3.66e-45
241,4170,9.543e-44,3.66e-45
241,4171,9.521e-44,3.65e-45
241,4172,9.504e-44,3.65e-45
241,4173,9.484e-44,3.64e-45
241,4174,9.469e-44,3.64e-45
241,4175,9.452e-44,3.63e-45
241,4176,9.433e-44,3.63e-45
241,4177,9.407e-44,3.62e-45
241,4178,9.383e-44,3.61e-45
241,4179,9.359e-44,3.61e-45
241,4180,9.334e-44,3.6e-45
241,4181,9.312e-44,3.59e-45
241,4182,9.284e-44,3.58e-45
241,4183,9.249e-44,3.57e-45
241,4184,9.213e-44,3.56e-45
241,4185,9.181e-44,3.55e-45
241,4186,9.149e-44,3.54e-45
241,4187,9.115e-44,3.53e-45
241,4188,9.068e-44,3.52e-45
241,4189,9.019e-44,3.5e-45
241,4190,8.972e-44,3.49e-45
241,4191,8.916e-44,3.47e-45
241,4192,8.867e-44,3.46e-45
241,4193,8.809e-44,3.44e-45
241,4194,8.766e-44,3.42e-45
241,4195,8.713e-44,3.41e-45
241,4196,8.658e-44,3.39e-45
241,4197,8.608e-44,3.37e-45
241,4198,8.555e-44,3.36e-45
241,4199,8.502e-44,3.34e-45
241,4200,8.437e-44,3.32e-45
241,4201,8.381e-44,3.3e-45
241,4202,8.326e-44,3.29e-45
241,4203,8.265e-44,3.27e-45
241,4204,8.198e-44,3.25e-45
241,4205,8.136e-44,3.23e-45
241,4206,8.075e-44,3.21e-45
241,4207,8.022e-44,3.19e-45
241,4208,7.96e-44,3.17e-45
241,4209,7.884e-44,3.15e-45
241,4210,7.815e-44,3.12e-45
241,4211,7.755e-44,3.11e-45
241,4212,7.696e-44,3.09e-45
241,4213,7.63e-44,3.06e-45
241,4214,7.567e-44,3.05e-45
241,4215,7.504e-44,3.03e-45
241,4216,7.439e-44,3.01e-45
241,4217,7.377e-44,2.98e-45
241,4218,7.307e-44,2.96e-45
241,4219,7.234e-44,2.94e-45
241,4220,7.162e-44,2.92e-45
241,4221,7.101e-44,2.9e-45
241,4222,7.037e-44,2.88e-45
241,4223,6.97e-44,2.86e-45
241,4224,6.901e-44,2.83e-45
241,4225,6.84e-44,2.81e-45
241,4226,6.775e-44,2.79e-45
241,4227,6.714e-44,2.77e-45
241,4228,6.645e-44,2.75e-45
241,4229,6.578e-44,2.73e-45
241,4230,6.515e-44,2.71e-45
241,4231,6.452e-44,2.69e-45
241,4232,6.394e-44,2.67e-45
241,4233,6.324e-44,2.65e-45
241,4234,6.265e-44,2.63e-45
241,4235,6.208e-44,2.61e-45
241,4236,6.149e-44,2.59e-45
241,4237,6.088e-44,2.57e-45
241,4238,6.025e-44,2.55e-45
241,4239,5.967e-44,2.53e-45
241,4240,5.907e-44,2.51e-45
241,4241,5.844e-44,2.49e-45
241,4242,5.784e-44,2.47e-45
241,4243,5.729e-44,2.45e-45
241,4244,5.679e-44,2.44e-45
241,4245,5.621e-44,2.42e-45
241,4246,5.566e-44,2.4e-45
241,4247,5.511e-44,2.38e-45
241,4248,5.458e-44,2.36e-45
241,4249,5.402e-44,2.35e-45
241,4250,5.348e-44,2.33e-45
241,4251,5.294e-44,2.31e-45
241,4252,5.241e-44,2.29e-45
241,4253,5.192e-44,2.28e-45
241,4254,5.143e-44,2.26e-45
241,4255,5.094e-44,2.24e-45
241,4256,5.044e-44,2.23e-45
241,4257,4.995e-44,2.21e-45
241,4258,4.959e-44,2.2e-45
241,4259,4.912e-44,2.18e-45
241,4260,4.856e-44,2.16e-45
241,4261,4.806e-44,2.15e-45
241,4262,4.759e-44,2.13e-45
241,4263,4.714e-44,2.12e-45
241,4264,4.67e-44,2.1e-45
241,4265,4.62e-44,2.09e-45
241,4266,4.571e-44,2.07e-45
241,4267,4.532e-44,2.06e-45
241,4268,4.491e-44,2.04e-45
241,4269,4.449e-44,2.03e-45
241,4270,4.405e-44,2.01e-45
241,4271,4.364e-44,2e-45
241,4272,4.33e-44,1.99e-45
241,4273,4.283e-44,1.97e-45
241,4274,4.243e-44,1.96e-45
241,4275,4.204e-44,1.94e-45
241,4276,4.168e-44,1.93e-45
241,4277,4.13e-44,1.92e-45
241,4278,4.091e-44,1.9e-45
241,4279,4.053e-44,1.89e-45
241,4280,4.017e-44,1.88e-45
241,4281,3.982e-44,1.87e-45
241,4282,3.944e-44,1.85e-45
241,4283,3.907e-44,1.84e-45
241,4284,3.875e-44,1.83e-45
241,4285,3.833e-44,1.82e-45
241,4286,3.799e-44,1.81e-45
241,4287,3.776e-44,1.8e-45
241,4288,3.741e-44,1.78e-45
241,4289,3.702e-44,1.77e-45
241,4290,3.672e-44,1.76e-45
241,4291,3.641e-44,1.75e-45
241,4292,3.611e-44,1.74e-45
241,4293,3.579e-44,1.73e-45
241,4294,3.546e-44,1.72e-45
241,4295,3.513e-44,1.7e-45
241,4296,3.482e-44,1.69e-45
241,4297,3.452e-44,1.68e-45
241,4298,3.425e-44,1.67e-45
241,4299,3.398e-44,1.66e-45
241,4300,3.367e-44,1.65e-45
241,4301,3.337e-44,1.64e-45
241,4302,3.311e-44,1.63e-45
241,4303,3.28e-44,1.62e-45
241,4304,3.253e-44,1.61e-45
241,4305,3.229e-44,1.6e-45
241,4306,3.206e-44,1.59e-45
241,4307,3.172e-44,1.58e-45
241,4308,3.145e-44,1.57e-45
241,4309,3.125e-44,1.57e-45
241,4310,3.101e-44,1.56e-45
241,4311,3.071e-44,1.55e-45
241,4312,3.048e-44,1.54e-45
241,4313,3.027e-44,1.53e-45
241,4314,3.002e-44,1.52e-45
241,4315,2.977e-44,1.51e-45
241,4316,2.956e-44,1.51e-45
241,4317,2.931e-44,1.5e-45
241,4318,2.906e-44,1.49e-45
241,4319,2.878e-44,1.48e-45
241,4320,2.857e-44,1.47e-45
241,4321,2.834e-44,1.46e-45
241,4322,2.814e-44,1.45e-45
241,4323,2.789e-44,1.45e-45
241,4324,2.77e-44,1.44e-45
241,4325,2.748e-44,1.43e-45
241,4326,2.726e-44,1.42e-45
241,4327,2.702e-44,1.41e-45
241,4328,2.678e-44,1.41e-45
241,4329,2.662e-44,1.4e-45
241,4330,2.647e-44,1.39e-45
241,4331,2.625e-44,1.39e-45
241,4332,2.606e-44,1.38e-45
241,4333,2.591e-44,1.37e-45
241,4334,2.572e-44,1.37e-45
241,4335,2.55e-44,1.36e-45
241,4336,2.526e-44,1.35e-45
241,4337,2.505e-44,1.34e-45
241,4338,2.492e-44,1.34e-45
241,4339,2.476e-44,1.33e-45
