temperature,wavenumber,cia_coefficient,uncertainty
296,9123.22,5.42240336846139E-8,3.00600755999197E-10
296,9123.23,5.42323788952318E-8,3.00604311408772E-10
296,9123.24,5.42436968143154E-8,3.00585791888272E-10
296,9123.25,5.42566326250817E-8,3.00484213454108E-10
296,9123.26,5.42670122569022E-8,3.00294330053577E-10
296,9123.27,5.42716848130733E-8,3.0017226545527E-10
296,9123.28,5.42760412469402E-8,3.00161866359795E-10
296,9123.29,5.4282169813779E-8,3.00176867194305E-10
296,9123.3,5.42887223044384E-8,2.99849605415849E-10
296,9123.31,5.42935413353851E-8,2.99406973295566E-10
296,9123.32,5.42985080590028E-8,2.98942208852118E-10
296,9123.33,5.43037218597429E-8,2.98542959339661E-10
296,9123.34,5.43095302600389E-8,2.98276496680385E-10
296,9123.35,5.43111095793829E-8,2.98084782115498E-10
296,9123.36,5.43098203396111E-8,2.97934659365758E-10
296,9123.37,5.43139817774875E-8,2.97892413901954E-10
296,9123.38,5.4322321868887E-8,2.98098432786952E-10
296,9123.39,5.43270797660894E-8,2.98246223255809E-10
296,9123.4,5.43300413420027E-8,2.98330867726658E-10
296,9123.41,5.43373781155737E-8,2.98449043013598E-10
296,9123.42,5.43481550619605E-8,2.98464950437589E-10
296,9123.43,5.43624457951154E-8,2.98424552917394E-10
296,9123.44,5.43788095150735E-8,2.98282692246304E-10
296,9123.45,5.43927449924721E-8,2.98161871090239E-10
296,9123.46,5.44046329096365E-8,2.9809443597913E-10
296,9123.47,5.44192209151078E-8,2.98019688733389E-10
296,9123.48,5.44313387401367E-8,2.98013137902685E-10
296,9123.49,5.44416376042172E-8,2.98149636893033E-10
296,9123.5,5.44540477663244E-8,2.98513221576023E-10
296,9123.51,5.44628981335648E-8,2.98863346520608E-10
296,9123.52,5.44733940603858E-8,2.99058701887956E-10
296,9123.53,5.44840728983674E-8,2.99112460346481E-10
296,9123.54,5.44885710403368E-8,2.98997369892265E-10
296,9123.55,5.44851412968893E-8,2.9897669669087E-10
296,9123.56,5.44946987504565E-8,2.99035123520439E-10
296,9123.57,5.45101740296413E-8,2.990948725622E-10
296,9123.58,5.45257732173583E-8,2.99145318138755E-10
296,9123.59,5.45399333746737E-8,2.99124223682625E-10
296,9123.6,5.45454880788458E-8,2.98971778184077E-10
296,9123.61,5.45461774604454E-8,2.98817728746522E-10
296,9123.62,5.45460834955561E-8,2.98691679370645E-10
296,9123.63,5.45522854466831E-8,2.98486172283988E-10
296,9123.64,5.45640325887174E-8,2.98144108730842E-10
296,9123.65,5.45756177359926E-8,2.9768090674179E-10
296,9123.66,5.4585235567957E-8,2.97161893106491E-10
296,9123.67,5.45976668426132E-8,2.9680140705422E-10
296,9123.68,5.46160891522301E-8,2.96726506780155E-10
296,9123.69,5.46355927296951E-8,2.9691118242544E-10
296,9123.7,5.4649454326846E-8,2.97199929822698E-10
